Item Number,Old product code,LOCAL ITEM NAME TRANSLATION,UPC Code,Primary Units Type
2002697,3221423,Apgaismojuma ārēja blīve,2000000135304,Piece
2002698,3221639,Lampiņa G4 10W 12V,2000000135328,Piece
2002699,3240519,Ventilātors bīnam 119*119*38mm,2000000102696,Piece
2002700,3240560,Reste ventilātoram D.300 EBM,2000000127484,Piece
2002701,3241466,Slēdža roktura disks ar dalījumu 0-1-2-3,2000000158099,Piece
2002702,3242439,Slēdzene aukstuma kameras durvīm,2000000114859,Piece
2002703,3242465,Durvju mēlīte SCC krāsnij,2000000103136,Piece
2002705,3243492,Skalošanas sprausla,2000000141886,Piece
2002706,3243977,Skrūve skalošanas rokai,2000000100678,Piece
2002707,3247004,Keramiskā kleme 3-polu,2000000137285,Piece
2002708,3248215,Trauku mazgājamās mašīnas remonta komplekts,2000000099743,Piece
2002709,3286013,Blīvgumija krāsnij - 6m,2000000162119,Piece
2002710,3286519,Blīvgumija 7m,2000000116679,Piece
2002711,33.05033,Uzlīme diodei Plus 5,2000000153681,Piece
2002712,3301580,Winterhalter F8400 mazgājamais līdzeklis  (25 kg) (3301580),2000000022932,Piece
2002713,3311094,Sildriņķis D.180mm 1500W 230V,2000000112626,Piece
2002715,3316115,Uzgrieznis Adler trauku maš.,2000000136141,Piece
2002716,3319087,Slēdzis 16A 250V zaļš,2000000134345,Piece
2002717,3319496,Poga (melna),2000000163901,Piece
2002718,3330.53,Reste GN 1/1 53*32.5cm,2000000061658,Piece
2002719,3330.60N,Reste 60*40 cm N/T,2000000093154,Piece
2002722,3340116,Motors CN3-20/014 ar kronšteinu,2000000110400,Piece
2002723,3340195,El.motors 82Ce-3025/GI,2000000163192,Piece
2002724,3341052,Boilera ūdens līmeņa devējs,2000000096315,Piece
2002725,3346145,Ritentiņš Durvīm,2000000116433,Piece
2002726,3349211,Ūdens izplūdes vārsts,2000000137278,Piece
2002727,3350026,Energo regulators (3350026),2000000108391,Piece
2002728,3355294,Sildelements 6000W 230/400V,2000000142869,Piece
2002729,3390036,Temperatūras devējs elektrobaram,2000000101040,Piece
2002730,3390079,Krāsns priekšējais panelis 485*97mm,2000000143736,Piece
2002731,3394106,Manometrs D80,2000000163895,Piece
2002732,3397068,Temperatūras adata Afinox 90 PT100,2000000120645,Piece
2002734,340410,Lampu patrona grilam,2000000014692,Piece
2002735,340412,Lampu patrona Ubert vitrīnas spuldzei,2000000066608,Piece
2002736,340815,Displejs platei 340810 Ubert,2000000014739,Piece
2002737,340818,Temperatūras displejs 3-zīmes RT5XX,2000000019277,Piece
2002739,341105,3 režīmu slēgs RT507/505 Ubert,2000000014760,Piece
2002740,342216,Jaudas slēdzis/induktīvais Ubert DSHST vitrīnai,2000000070414,Piece
2002741,342259,Digitālais vadības bloks DHT vitrīnai (DSHST-31),2000000069029,Piece
2002742,342970,Sildelements 800W -230V,2000000156057,Piece
2002743,343145,Sildspirāle MP 507 grilam 4500 W,2000000014869,Piece
2002744,3441011,Termometrs 0-120C 56*25mm,2000000143750,Piece
2002745,344119,Uzgrieznis ventilācijas vākam Ubert,2000000014906,Piece
2002746,3444009,Melna Poga D.41mm 0-12C,2000000146614,Piece
2002747,3444198,Termostats 3-fāzes 100-180C,2000000129167,Piece
2002748,3444336,"Termostats vienfāzes TR2 0-270""C",2000000157139,Piece
2002749,3445441,Termoregulators Dixell XR06CX-5N0C1,2000000164540,Piece
2002750,3448304,Pārplūdes caurule trauku mazg.mašīnai D.30*235mm,2000000156927,Piece
2002751,3449001,Veļas mašīnas ūdens pievads karstumizturīgs,2000000102719,Piece
2002752,3449141,Apsiežamais gredzens D11.5-14mm,2000000139043,Piece
